"date","transaction","description","amount","balance","currency"
"2024-12-10","CONT","Contribution (executed at 2024-12-10)","1000.0","1020.4","CAD"
"2024-12-12","BUY","BANK - Evolve Canadian Banks And Lifecos Enhanced Yield Index Fund - Unhedged: Bought 100.0000 shares (executed at 2024-12-11)","-828.0","192.4","CAD"
"2024-12-12","BUY","HHLE - Harvest Healthcare Leaders Enhanced Income ETF: Bought 19.0000 shares (executed at 2024-12-11)","-188.29","4.11","CAD"
"2024-12-16","CONT","Contribution (executed at 2024-12-16)","3000.0","3004.11","CAD"
"2024-12-17","BUY","ENCL - Global X Enhanced Canadian Oil and Gas Equity Covered Call ETF: Bought 50.0000 shares (executed at 2024-12-16)","-940.5","2063.61","CAD"
"2024-12-17","BUY","UTES - Evolve Canadian Utilities Enhanced Yield Index Fund - Unhedged ETF: Bought 50.0000 shares (executed at 2024-12-16)","-467.0","1596.61","CAD"
"2024-12-18","BUY","ENCL - Global X Enhanced Canadian Oil and Gas Equity Covered Call ETF: Bought 50.0000 shares (executed at 2024-12-17)","-927.5","669.11","CAD"
"2024-12-19","BUY","HHLE - Harvest Healthcare Leaders Enhanced Income ETF: Bought 18.0000 shares (executed at 2024-12-18)","-173.7","495.41","CAD"
"2024-12-19","BUY","LLHE - Harvest Eli Lilly Enhanced High Income Shares ETF - Class A: Bought 50.0000 shares (executed at 2024-12-18)","-487.5","7.91","CAD"
